,club,last_name,first_name,position,base_salary,guaranteed_compensation
0,ATL,Almiron,Miguel,M,1912500.0,2297000.0
1,ATL,Ambrose,Mikey,D,65625.0,65625.0
2,ATL,Asad,Yamil,M,150000.0,150000.0
3,ATL,Bloom,Mark,D,99225.0,106573.89
4,ATL,Carleton,Andrew,F,65000.0,77400.0
5,ATL,Carmona,Carlos,M,675000.0,725000.0
6,ATL,Garza,Greg,D,150000.0,150000.0
7,ATL,Gonzalez Pirez,Leandro,D,250008.0,285008.0
8,ATL,Goslin,Chris,M,70000.0,74000.0
9,ATL,Gressel,Julian,M,75000.0,93750.0
10,ATL,Heath,Harrison,M,66150.0,66150.0
11,ATL,Jones,Kenwyne,F,390000.0,413333.33
12,ATL,Kann,Alec,GK,77004.0,77004.0
13,ATL,Kratz,Kevin,M,150000.0,164250.0
14,ATL,Larentowicz,Jeff,M,175008.0,175008.0
15,ATL,Loyd,Zach,D,85008.0,85008.0
16,ATL,Martinez,Josef,F,924000.0,1041310.0
17,ATL,McCann,Chris,M,540000.0,568000.0
18,ATL,Mears,Tyrone,D,183756.0,183756.0
19,ATL,Oblitey Otoo,Jeffrey,M-F,53000.0,53000.0
20,ATL,Parkhurst,Michael,D,325008.0,325008.0
21,ATL,Peterson,Jacob,F,165300.0,165300.0
22,ATL,Reynish,Kyle,GK,65004.0,65004.0
23,ATL,Robinson,Miles,D,125000.04,195000.04
24,ATL,Rochez,Bryan,F,200000.0,279500.0
25,ATL,Tambakis,Alexander,GK,65004.0,65004.0
26,ATL,Vazquez,Brandon,F,100008.0,120008.0
27,ATL,Villalba,Hector,F,663000.0,770750.0
28,ATL,Walkes,Anton,D,53004.0,53004.0
29,ATL,Wheeler-Omiunu,Andrew,M,53004.0,53004.0
30,ATL,Williams,Romario,F,65000.0,65000.0
31,CHI,Accam,David,F-M,750000.0,820937.5
32,CHI,Alvarez,Arturo,M,135000.0,142500.0
33,CHI,Arshakyan,David,F,156000.0,178850.0
34,CHI,Bronico,Brandt,M,65004.0,65004.0
35,CHI,Calistri,Joey,M,54075.0,54075.0
36,CHI,Campbell,Jonathan,D,101750.0,109875.0
37,CHI,Cleveland,Stefan,GK,53004.0,53004.0
38,CHI,Conner,Drew,M,65625.0,65625.0
39,CHI,De Leeuw,Michael,F,500000.0,564212.5
40,CHI,Dekovic,Matej,D,65004.0,65004.0
41,CHI,Doody,Patrick,D,65000.0,65000.0
42,CHI,Fernandez,Collin,M,85000.0,87000.0
43,CHI,Goossens,John,M,230000.0,233333.33
44,CHI,Harrington,Michael,D,135000.0,135000.0
45,CHI,Johnson,Daniel,M,65004.0,65004.0
46,CHI,Juninho,,M,700008.0,716674.67
47,CHI,Kappelhof,Johan,D,530000.0,570000.0
48,CHI,Lampson,Matt,GK,76000.0,81375.0
49,CHI,McCarty,Dax,M,400000.0,500000.0
50,CHI,Meira,Joao,D-M,150000.0,165000.0
51,CHI,Mihailovic,Djordje,M,80000.04,80000.04
52,CHI,Nikolic,Nemanja,F,1700000.04,1906333.37
53,CHI,Polster,Matt,M,99900.0,114900.0
54,CHI,Rodrigo Bava,Jorge,GK,240000.0,267133.34
55,CHI,Schweinsteiger,Bastian,M,5400000.0,5400000.0
56,CHI,Solignac,Luis,F,274999.92,328312.42
57,CHI,Vincent,Brandon,D,96250.0,118125.0
58,CLB,Abu,Mohammed,M,165000.0,171250.0
59,CLB,Abubakar,"Alhassan ""Lalas""",D,65000.04,72500.04
60,CLB,Afful,Harrison,D,280000.0,296666.67
61,CLB,Crognale,Alex,D,84996.0,84996.0
62,CLB,De Lima Junior,Artur,M,80004.0,99879.0
63,CLB,Duka,Dilly,M,175000.0,175000.0
64,CLB,Finlay,Ethan,M,290000.0,290000.0
65,CLB,Francis,Waylon,D,227500.0,251875.0
66,CLB,Hansen,Nikolaj,F,65000.04,72500.04
67,CLB,Higuain,Federico,M,1050000.0,1050000.0
68,CLB,Hollingsworth,Marshall,M,54075.0,54075.0
69,CLB,Jahn,Adam,F,92500.0,92500.0
70,CLB,Jimenez,Hector,M,150000.0,150000.0
71,CLB,Kamara,Ola,F,450000.0,482500.0
72,CLB,Ketterer,Logan,GK,53004.0,53004.0
73,CLB,Maloney,Connor,D,53004.0,53004.0
74,CLB,Manneh,Kekuta,M-F,138875.0,168375.0
75,CLB,Martinez,Cristian,M,65633.4,70133.4
76,CLB,Mensah,Jonathan,D,750000.0,844000.0
77,CLB,Meram,Justin,M,300000.0,328750.0
78,CLB,Naess,Nicolai,D,235000.0,242500.0
79,CLB,Obinwa,Abuchi,M,65004.0,65004.0
80,CLB,Raitala,Jukka,D,125004.0,161670.67
81,CLB,Saravia,Rodrigo,M,65625.0,65625.0
82,CLB,Sauro,Gaston,D,585000.0,601312.5
83,CLB,Steffen,Zack,GK,105000.0,105000.0
84,CLB,Stuver,Brad,GK,80004.0,80004.0
85,CLB,Swanson,Ben,M,85000.0,105416.67
86,CLB,Trapp,Wil,M,300000.0,350000.0
87,CLB,Williams,Josh,D,110004.0,110004.0
88,COL,Adjei-Boateng,Bismark,M,300000.0,341246.0
89,COL,Azira,Michael,M,110000.0,116625.0
90,COL,Badji,Dominique,F,65000.0,65000.0
91,COL,Berner,John,GK,66150.0,66150.0
92,COL,Burling,Bobby,D,120000.0,126000.0
93,COL,Calvert,Caleb,F,100000.0,107500.0
94,COL,Castillo,Dennis,D,54075.0,54075.0
95,COL,Da Fonte,Mike,D,65004.0,65004.0
96,COL,Doyle,Kevin,F,1000000.0,1045000.0
97,COL,Ford,Kortne,D,69996.0,76996.0
98,COL,Gashi,Shkelzen,F,1575000.0,1668750.0
99,COL,Gatt,Joshua,M,175008.0,193508.0
100,COL,Gordon,Alan,F,180000.0,180000.0
101,COL,Hairston,Marlon,D-M,110004.0,110004.0
102,COL,Hamilton,Sam,M,65004.0,65004.0
103,COL,Howard,Tim,GK,2000000.0,2475000.0
104,COL,MacMath,Zac,GK,150000.0,150000.0
105,COL,Miller,Eric,D,75553.75,86553.75
106,COL,Perez,Ricardo,M,53004.0,54254.0
107,COL,Powers,Dillon,M,295000.0,325000.0
108,COL,Ramirez,Juan Edgardo,M,100000.0,100000.0
109,COL,Saeid,Mohammed,M,160000.0,170000.0
110,COL,Serna,Dillon,M,72600.0,85600.0
111,COL,Sjoberg,Axel,D,108350.0,123350.0
112,COL,Watts,Jared,D-M,75000.0,75000.0
113,COL,Williams,Mekeil,D,110000.0,115000.0
114,DAL,Acosta,Kellyn,M,260000.0,280000.0
115,DAL,Akindele,Tesho,F-M,95000.0,112500.0
116,DAL,Barrios,Michael,M,100000.0,100000.0
117,DAL,Cannon,Reggie,D,53000.04,53000.04
118,DAL,Cermeno,Carlos,M,120000.0,123000.0
119,DAL,Chala,Anibal,D,250000.08,333000.08
120,DAL,Colman,Cristian,F,300000.0,385000.0
121,DAL,Craft,Coy,F-M,85000.0,102083.33
122,DAL,Diaz,Mauro,M,784000.0,880890.0
123,DAL,Ferreira,Jesus,F,53000.0,53000.0
124,DAL,Figueroa,Maynor,D,320000.0,343333.33
